STATE,Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATENAN N+ NITRITENANN (mg/l),FECAL COLIFORM (MPN/100ml)
ANDHRA PRADESH,33,7.1,7.6,406,3,15.8,NAN
ANDHRA PRADESH,25.9,5.5,7.6,569,1.3,0.9,18
ANDHRA PRADESH,26.5,5.4,7.8,310,0.8,2.4,7
ANDHRA PRADESH,18.9,7.1,7.8,516,0.7,0.5,2
ANDHRA PRADESH,20.5,6.9,8,505,0.9,0.7,2
ANDHRA PRADESH,27,6,7.3,432,1.2,3,3
ANDHRA PRADESH,26.8,6.1,7.7,328,1.2,1,3
ANDHRA PRADESH,19,5.8,7.8,707,0.6,0.85,2
ANDHRA PRADESH,21.4,6.1,8,674,0.9,1,2
ANDHRA PRADESH,27,6,7.6,429,1.1,1.1,3
ANDHRA PRADESH,27,6,7.8,308,1.1,1.47,3
ANDHRA PRADESH,20,5.8,7.4,505,0.6,0.73,4
ANDHRA PRADESH,24,6.1,7.5,465,0.5,0.34,4
ANDHRA PRADESH,27.6,6.2,7.5,371,1.1,1.62,3
ANDHRA PRADESH,27.6,6.2,7.7,316,1.3,2.41,3
ANDHRA PRADESH,28,7,7.5,226,1.1,2.3,3
ANDHRA PRADESH,33,7.7,7.8,220,4,11,NAN
ANDHRA PRADESH,33,6.8,7.4,309,7,15.3,NAN
ANDHRA PRADESH,28,6.5,7.9,566,0.9,3.8,3
ARUNACHAL PRADESH,25,7.2,7.8,262,0.28,0.15,19
ARUNACHAL PRADESH,25,4.9,7.4,10362,9.7,0.64,14
ARUNACHAL PRADESH,27,5.1,7.8,530,2.73,0.6,64125
ARUNACHAL PRADESH,28,6,8.2,612,2.28,0.4,28650
ARUNACHAL PRADESH,30,6.1,8.1,8782,1.9,0.43,16100
ARUNACHAL PRADESH,27,1.1,7.8,1076,7.67,0.63,28
ARUNACHAL PRADESH,29,6.8,8,3431,2.8,0.3,32120
ARUNACHAL PRADESH,25,4.5,7.6,1161,7.43,0.53,99
ARUNACHAL PRADESH,25,6,7.3,8838,5.58,0.7,14
ARUNACHAL PRADESH,30,0,7.1,3080,46,4.8,3000
ARUNACHAL PRADESH,28,2.8,7.9,663,5.93,0.97,150250
ARUNACHAL PRADESH,29,5.6,8,1265,2.13,0.1,503
ARUNACHAL PRADESH,28,4.1,7.9,4491,16.5,0.1,58
ARUNACHAL PRADESH,29,6.3,7.9,43983,1.83,1.22,105
ARUNACHAL PRADESH,30,6.6,7.8,37,2.25,0.01,10
ARUNACHAL PRADESH,28,6.8,7.1,11,1.65,0.07,22
ARUNACHAL PRADESH,27,6.5,7.5,28,4.55,0.05,20
ARUNACHAL PRADESH,28,7.1,8,49,1.25,0.02,3
ARUNACHAL PRADESH,26,7.6,7.3,93,0.95,0.03,240
ARUNACHAL PRADESH,26,7.4,7,67,2.45,0.13,467
ARUNACHAL PRADESH,27,7,7.3,89,1.5,0.02,30
ARUNACHAL PRADESH,29,5.4,7.3,75,1.8,0.06,350
ARUNACHAL PRADESH,28,6.7,7.2,95,1.4,0.1,18
ARUNACHAL PRADESH,28,6.8,6.9,58,1.9,0.03,25
ARUNACHAL PRADESH,25,5.6,6.8,67,1.9,0.06,82
ARUNACHAL PRADESH,28,5.2,7.2,29,1.65,0.04,37
ARUNACHAL PRADESH,26,6.2,7.1,146,2.1,0.09,920
ARUNACHAL PRADESH,31,3.6,7,29,2,0.09,33
ARUNACHAL PRADESH,30,6.8,7.2,1370,2.6,0.08,33
ARUNACHAL PRADESH,28,8.1,7.1,335,3.2,0.21,1300
ASSAM,26,6.3,7.6,119,3.67,0.37,157
ASSAM,27,6.4,7.6,109,3.4,0.42,95
ASSAM,27,5.9,7.2,119,4.04,0.65,133
ASSAM,25,5.3,7.7,109,3.25,0.38,165
ASSAM,26,6,7.8,301,5.43,0.3,166
ASSAM,22,6.6,7.2,131,4.5,0.83,285
ASSAM,22,6.8,7.2,110,3.9,0.49,480
ASSAM,27,6.7,7.6,109,4.13,0.28,260
ASSAM,29,5.2,7,478,16.3,0.35,500
ASSAM,21,6.9,6.6,291,1.96,1.4,4
ASSAM,32,0.7,7.3,12697,45.6,1.32,642
ASSAM,23,6.8,6.6,6232,2.13,2.72,6
ASSAM,29,6.2,6.5,1638,1.5,0.8,349
ASSAM,28,7.3,6.6,36,0.6,0.41,304
ASSAM,28,6.4,6.7,41,1,0.75,443
ASSAM,28,5.1,6.8,52,1.6,0.22,555
ASSAM,28,6.8,6.7,183,1.3,0.28,358
ASSAM,27,6.3,6.3,115,0.9,0.5,455
ASSAM,28,7.2,6.7,455,1.1,0.28,245
ASSAM,27,6.8,6.9,80,0.4,0.52,207
ASSAM,27,6.8,7,4515,0.4,1.53,184
ASSAM,29,7.7,7.2,47,1,2,253
ASSAM,29,7.1,6.8,57,1.5,1.12,230
ASSAM,29,6.6,6.3,148,1.2,0.93,190
ASSAM,26,1.8,6.8,2012,5.5,1.8,20458
ASSAM,26,6.7,6.2,40,0.6,1,425
BIHAR,26,5.8,6.3,65,1.1,2.97,525
BIHAR,26,5.1,6.3,50,1,3.1,700
BIHAR,26,6.6,6.2,42,0.6,1.97,475
BIHAR,27,6.6,6.4,43,0.7,3.13,400
BIHAR,27,6.7,6.4,50,0.5,3.6,500
BIHAR,26,6.6,6.3,46,0.6,1.07,624
BIHAR,27,5.9,6.4,54,0.7,3.53,375
BIHAR,27,7.6,6.7,55,0.7,4.17,295
BIHAR,27,6.5,6.7,72,0.8,2.83,30
BIHAR,29,7.3,7.4,71,0.7,4.1,490
BIHAR,27,6.3,6.7,79,0.7,2.03,190
BIHAR,26,6.9,6.6,33,0.4,1.4,0
BIHAR,27,6.8,6.7,46,0.4,1.47,30
BIHAR,29,5.9,7.1,6666,0.7,4.13,118
BIHAR,28,6.4,7.1,17771,1,5.2,760
BIHAR,28,7.3,6.7,62,0.9,2.8,293
BIHAR,28,7.6,6.6,61,0.5,3.4,85
BIHAR,30,2.4,6.7,221,2.1,3.97,220
BIHAR,27,7.1,6.8,89,1.2,0.4,620
BIHAR,27,6.4,6.7,110,0.5,0.2,1400
BIHAR,27,3.5,6.9,105,0.7,0.15,265
BIHAR,28,7.4,7.3,155,0.8,1.2,570
BIHAR,28,6.8,6.9,77,0.9,1.8,215
BIHAR,27,5.5,6.5,75,1.9,0.1,1300
BIHAR,31,5.4,6.5,102,4,0.1,320
BIHAR,30,4.8,6.8,90,1.1,0.1,730
BIHAR,28,5.8,6.3,87,0.7,0.1,633
BIHAR,27,7.3,6.6,57,0.4,0.25,297
BIHAR,28,5.8,7.5,18291,0.8,0.25,435
BIHAR,28,6.2,6.7,2497,0.5,0.15,510
BIHAR,27,7.3,6.1,45,0.7,0.2,150
BIHAR,27,7.6,6.3,39,0.5,0.2,1040
BIHAR,25,7.7,6.6,31,0.3,0.15,490
BIHAR,28,5.4,5.9,595,0.8,0.1,570
BIHAR,28,7.4,6.1,30,0.9,0.3,690
BIHAR,28,6.6,5.9,37,0.7,0.1,540
CHANDIGARH,28,6.5,6.5,1135,0.7,0.25,850
CHANDIGARH,27,7.2,5.9,39,0.8,0.55,440
CHANDIGARH,29,6.3,6.5,925,1.1,0.3,830
CHANDIGARH,27,7.6,6.6,50,0.6,0.25,1660
CHANDIGARH,27,7.3,6.5,64,1.4,0.5,1280
CHANDIGARH,27,7.5,7,74,0.8,0.1,1400
CHANDIGARH,26,4.4,7.3,428,0.4,0.15,285
CHANDIGARH,27,6.8,7,169,0.4,0.25,255
CHANDIGARH,29,1.7,6.2,181,3,0.45,672
CHANDIGARH,29,3,6.1,80,2,0.13,268
CHANDIGARH,28,6.9,7.8,469,0.89,0.86,152
CHANDIGARH,32,7.7,8.1,266,1.83,1.01,1950
CHANDIGARH,32,6.8,7.8,16468,1.65,2,440
CHANDIGARH,28,7.5,8.2,233,2.5,0.89,2600
CHANDIGARH,26,7.6,8.1,233,1.35,1.43,2025
CHANDIGARH,26,7,7.6,593,0.25,1.95,NAN
CHANDIGARH,25,7.6,6.6,118,1.15,0.15,70
CHANDIGARH,27,6.8,6.6,179,1.88,0.2,118
CHANDIGARH,28,6.8,6.7,172,2.14,0.19,263
CHANDIGARH,28,6.9,7.1,260,1.78,0.13,110
CHANDIGARH,27,7.3,6.6,94,1.27,0.17,73
CHANDIGARH,26,7.4,6.7,88,1.03,0.15,89
CHANDIGARH,28,7.2,7.2,439,2.28,0.14,236
CHANDIGARH,27,6.8,7.6,749,2.25,0.36,424
CHANDIGARH,26,6.9,7.3,252,4.33,1,322
CHHATTISGARH,29,7,7.3,46,1,NAN,49
CHHATTISGARH,31,7,7.3,40,1,NAN,12
CHHATTISGARH,30,7.7,8.1,195,1.1,0.7,0
CHHATTISGARH,23,8,8.2,572,0.5,NAN,12
CHHATTISGARH,24,3.8,7.8,1424,155.6,0.66,NAN
CHHATTISGARH,23,4.9,7.8,704,3.5,NAN,57
CHHATTISGARH,20,5.9,7.2,703,5.4,2.05,1950
CHHATTISGARH,21,5.3,7.4,1095,27,3.35,48000
CHHATTISGARH,30,6.7,6.9,1094,17.1,19.4,NAN
CHHATTISGARH,30,6.2,7,1312,22.3,17.7,NAN
CHHATTISGARH,21,5.7,7.3,732,10.7,2.4,5450
CHHATTISGARH,21,5,7.2,983,26.1,3.05,32250
CHHATTISGARH,20,5,7.3,748,7.4,2.65,12500
CHHATTISGARH,20,5.1,7.2,760,13.5,2.55,22000
CHHATTISGARH,21,4.5,7.2,856,23.8,3.45,34000
CHHATTISGARH,21,4.4,7.2,1184,18.1,3.75,17250
CHHATTISGARH,20,4.5,7.4,1186,22.7,3.07,13000
